ID,username,mail,street,language,PLZ
1,Lausanne_admin,mail_lausanne@waadt.ch,Zürcherstrasse 7,DE,1000
2,Jouxtens-Mézery_admin,mail_jouxtens-mézery@waadt.ch,Werdstrasse 89,FR,1008
3,Prilly_admin,mail_prilly@waadt.ch,Hirschengraben 13,FR,1008
4,Pully_admin,mail_pully@waadt.ch,Zürcherstrasse 56,DE,1009
5,Renens_VD_admin,mail_renens_vd@waadt.ch,Hirschengraben 63,FR,1020
6,Chavannes-près-Renens_admin,mail_chavannes-près-renens@waadt.ch,Place de l'hôtel 95,DE,1022
7,Crissier_admin,mail_crissier@waadt.ch,Piazza Riforma 10,IT,1023
8,Ecublens_VD_admin,mail_ecublens_vd@waadt.ch,Bahnhofstrasse 50,IT,1024
9,St-Sulpice_VD_admin,mail_st-sulpice_vd@waadt.ch,Marktplatz 44,DE,1025
10,Denges_admin,mail_denges@waadt.ch,Poststrasse 83,FR,1026
11,Echandens_admin,mail_echandens@waadt.ch,Marktplatz 55,IT,1026
12,Lonay_admin,mail_lonay@waadt.ch,Industriestrasse 95,IT,1027
13,Préverenges_admin,mail_préverenges@waadt.ch,Place de l'hôtel 37,FR,1028
14,Villars-Ste-Croix_admin,mail_villars-ste-croix@waadt.ch,Hirschengraben 50,IT,1029
15,Bussigny-près-Lausanne_admin,mail_bussigny-près-lausanne@waadt.ch,Place de l'hôtel 19,IT,1030
16,Mex_VD_admin,mail_mex_vd@waadt.ch,Marktgasse 38,FR,1031
17,Romanel-sur-Lausanne_admin,mail_romanel-sur-lausanne@waadt.ch,Tellstrasse 74,FR,1032
18,Cheseaux-sur-Lausanne_admin,mail_cheseaux-sur-lausanne@waadt.ch,Place de l'hôtel 75,DE,1033
19,Boussens_admin,mail_boussens@waadt.ch,Bahnhofstrasse 16,DE,1034
20,Bournens_admin,mail_bournens@waadt.ch,Usterstrasse 46,FR,1035
21,Sullens_admin,mail_sullens@waadt.ch,Rue du Château 59,IT,1036
22,Etagnières_admin,mail_etagnières@waadt.ch,Dufourstrasse 73,IT,1037
23,Bercher_admin,mail_bercher@waadt.ch,Marktplatz 69,DE,1038
24,St-Barthélemy_VD_admin,mail_st-barthélemy_vd@waadt.ch,Dufourstrasse 88,IT,1040
25,Villars-le-Terroir_admin,mail_villars-le-terroir@waadt.ch,Place de l'hôtel 42,IT,1040
26,Echallens_admin,mail_echallens@waadt.ch,Bahnhofstrasse 52,FR,1040
27,Dommartin_admin,mail_dommartin@waadt.ch,Rue du Château 87,DE,1041
28,Poliez-Pittet_admin,mail_poliez-pittet@waadt.ch,Tellstrasse 12,DE,1041
29,Bottens_admin,mail_bottens@waadt.ch,Tellstrasse 23,FR,1041
30,Naz_admin,mail_naz@waadt.ch,Marktplatz 58,IT,1041
31,Montaubion-Chardonney_admin,mail_montaubion-chardonney@waadt.ch,Bahnhofstrasse 45,IT,1041
32,Poliez-le-Grand_admin,mail_poliez-le-grand@waadt.ch,Usterstrasse 90,DE,1041
