ID,username,mail,language,street,PLZ
1,Lausanne_Waadt_admin,mail_lausanne@waadt.ch,FR,Rue de l'hôpital 13,1000
2,Jouxtens-Mézery_Waadt_admin,mail_jouxtens-mézery@waadt.ch,DE,Werdstrasse 86,1008
3,Prilly_Waadt_admin,mail_prilly@waadt.ch,FR,Bärenplatz 61,1008
4,Pully_Waadt_admin,mail_pully@waadt.ch,DE,Hirschengraben 76,1009
5,Renens_VD_Waadt_admin,mail_renens_vd@waadt.ch,IT,Werdstrasse 37,1020
6,Chavannes-près-Renens_Waadt_admin,mail_chavannes-près-renens@waadt.ch,DE,Via Trevano 8,1022
7,Crissier_Waadt_admin,mail_crissier@waadt.ch,IT,Marktgasse 73,1023
8,Ecublens_VD_Waadt_admin,mail_ecublens_vd@waadt.ch,FR,Rue du Château 40,1024
9,St-Sulpice_VD_Waadt_admin,mail_st-sulpice_vd@waadt.ch,DE,Tellstrasse 18,1025
10,Denges_Waadt_admin,mail_denges@waadt.ch,FR,Place de l'hôtel 67,1026
11,Echandens_Waadt_admin,mail_echandens@waadt.ch,FR,Piazza Riforma 72,1026
12,Lonay_Waadt_admin,mail_lonay@waadt.ch,FR,Piazza Riforma 26,1027
13,Préverenges_Waadt_admin,mail_préverenges@waadt.ch,FR,Industriestrasse 45,1028
14,Villars-Ste-Croix_Waadt_admin,mail_villars-ste-croix@waadt.ch,FR,Usterstrasse 69,1029
15,Bussigny-près-Lausanne_Waadt_admin,mail_bussigny-près-lausanne@waadt.ch,IT,Morgartenstrasse 26,1030
16,Mex_VD_Waadt_admin,mail_mex_vd@waadt.ch,FR,Piazza Riforma 22,1031
17,Romanel-sur-Lausanne_Waadt_admin,mail_romanel-sur-lausanne@waadt.ch,DE,Dufourstrasse 77,1032
18,Cheseaux-sur-Lausanne_Waadt_admin,mail_cheseaux-sur-lausanne@waadt.ch,DE,Rue du Château 29,1033
19,Boussens_Waadt_admin,mail_boussens@waadt.ch,FR,Place de l'hôtel 63,1034
20,Bournens_Waadt_admin,mail_bournens@waadt.ch,DE,Bahnhofstrasse 69,1035
