ID,type,community_ID,latitude,longitude,PLZ,Ort,Adresse,Nr,Kanton,Ort_Beschreibung,Bemerkung,Zuständigkeit
1,1,1871,47.48487540000001,7.732293999999999,4410,Liestal,Bahnhofstrasse,5,Basel-Landschaft,Eingang Volkswirtschafts- und Gesundheitsdirektion,Nur während den Bürozeiten,VGD
2,1,1871,47.4850246,7.733957800000001,4410,Liestal,Rathausstrasse,2,Basel-Landschaft,Haupteingang rechts nach Windfang an Wand, ,LKA
3,1,1918,47.4697871,7.871876599999999,4466,Ormalingen,Hauptstrasse,165,Basel-Landschaft,Aussen beim Haupteingang Zentrum Ergolz unterhalb Briefkasten, ,Einwohnergemeinde Ormalingen
4,1,1825,47.4928388,7.5896756,4153,Reinach,Hauptstrasse,29,Basel-Landschaft,"Gasthof Schlüssel, WC-Treppe",Während den Öffnungszeiten,Monika und Arthur Wälti-Herzog
5,1,1871,47.48647980000001,7.7311264,4410,Liestal,Rheinstrasse,25,Basel-Landschaft,Beim Empfang melden,"während der Oeffnungszeiten des Polizeipostens. Noch zu überprüfen
",Polizei BL
6,1,1904,47.4679923,7.7984691,4450,Sissach,Netzenstrasse,1,Basel-Landschaft,"Eingangsbereich zwischen NSNW und Verkehrsabteilung Polizei, vom Hof aus.", ,NSNW Sissach 061 975 45 45
7,1,1889,47.4506427,7.763363,4433,Ramlinsburg,Gassenbrunnen,10,Basel-Landschaft,Öffentlich zugänglich an Gebäude-Aussenseite,Keine,Gemeinde Ramlinsburg
8,1,1839,47.3626529,7.588187500000001,4229,Beinwil,Klosterkirche, ,Solothurn,"Zugang: 24h / 365 Tage im Jahr
Schilder AED zum Hauseingang neben Kirche.
AED frei zugänglich, links hinter Haustür",keine,"Kloster Beinwil, Oekumenische Gemeinschaft"
9,1,1794,47.5384197,7.618926900000001,4052,Basel,Mittlere Allee,18,Basel-Stadt, ,"Mo - Fr 08.00 - 18.00 Uhr
","Departement für Sport, Bewegung und Gesundheit
"
10,1,1800,47.5073142,7.523096,4105,Biel-Benken,"Primarschulhaus, Kilchbühlstrasse",7,Basel-Landschaft,An der Aussenwand beim Schulhauseingang,keine,Gemeinde Biel-Benken
11,1,1871,47.4816375,7.731434999999999,4410,Liestal,Oristalstrasse,25,Basel-Landschaft,"Treppe/ Lift 1. Stock, Praxis Dr. Ritz",Nur während Praxiszeiten,"Dr. med. M. Ritz, Gastroenterologie FMH"
12,1,1890,47.4250258,7.7705426,4434,Hölstein,Bündtenweg,40,Basel-Landschaft,Beim Eingang der Gemeindeverwaltung Hölstein,keine,Einwohnergemeinde Hölstein
