ID,username,mail,language,street,PLZ
1,Lausanne_admin,mail_lausanne@waadt.ch,FR,Poststrasse 79,1000
2,Jouxtens-Mézery_admin,mail_jouxtens-mézery@waadt.ch,IT,Hirschengraben 61,1008
3,Prilly_admin,mail_prilly@waadt.ch,IT,Usterstrasse 36,1008
4,Pully_admin,mail_pully@waadt.ch,DE,Bahnhofstrasse 9,1009
5,Renens_VD_admin,mail_renens_vd@waadt.ch,IT,Usterstrasse 61,1020
6,Chavannes-près-Renens_admin,mail_chavannes-près-renens@waadt.ch,FR,Bahnhofstrasse 9,1022
7,Crissier_admin,mail_crissier@waadt.ch,FR,Rue du Château 21,1023
8,Ecublens_VD_admin,mail_ecublens_vd@waadt.ch,FR,Marktplatz 19,1024
9,St-Sulpice_VD_admin,mail_st-sulpice_vd@waadt.ch,DE,Morgartenstrasse 86,1025
10,Denges_admin,mail_denges@waadt.ch,FR,Place de l'hôtel 96,1026
11,Echandens_admin,mail_echandens@waadt.ch,IT,Zürcherstrasse 89,1026
12,Lonay_admin,mail_lonay@waadt.ch,DE,Winkelriedstrasse 77,1027
13,Préverenges_admin,mail_préverenges@waadt.ch,IT,Via Trevano 26,1028
14,Villars-Ste-Croix_admin,mail_villars-ste-croix@waadt.ch,DE,Hirschengraben 54,1029
15,Bussigny-près-Lausanne_admin,mail_bussigny-près-lausanne@waadt.ch,IT,Marktplatz 35,1030
16,Mex_VD_admin,mail_mex_vd@waadt.ch,IT,Tellstrasse 4,1031
17,Romanel-sur-Lausanne_admin,mail_romanel-sur-lausanne@waadt.ch,IT,Piazza Riforma 75,1032
18,Cheseaux-sur-Lausanne_admin,mail_cheseaux-sur-lausanne@waadt.ch,FR,Winkelriedstrasse 39,1033
19,Boussens_admin,mail_boussens@waadt.ch,FR,Bahnhofstrasse 30,1034
20,Bournens_admin,mail_bournens@waadt.ch,IT,Place de l'hôtel 9,1035
21,Sullens_admin,mail_sullens@waadt.ch,IT,Dufourstrasse 57,1036
22,Etagnières_admin,mail_etagnières@waadt.ch,FR,Zürcherstrasse 3,1037
23,Bercher_admin,mail_bercher@waadt.ch,FR,Hirschengraben 39,1038
24,St-Barthélemy_VD_admin,mail_st-barthélemy_vd@waadt.ch,IT,Rue du Château 85,1040
25,Villars-le-Terroir_admin,mail_villars-le-terroir@waadt.ch,IT,Poststrasse 21,1040
26,Echallens_admin,mail_echallens@waadt.ch,IT,Rue de la Croix-Rouge 75,1040
27,Dommartin_admin,mail_dommartin@waadt.ch,FR,Piazza Riforma 84,1041
28,Poliez-Pittet_admin,mail_poliez-pittet@waadt.ch,DE,Tellstrasse 26,1041
29,Bottens_admin,mail_bottens@waadt.ch,FR,Poststrasse 12,1041
30,Naz_admin,mail_naz@waadt.ch,IT,Usterstrasse 16,1041
31,Montaubion-Chardonney_admin,mail_montaubion-chardonney@waadt.ch,FR,Rue du Château 35,1041
32,Poliez-le-Grand_admin,mail_poliez-le-grand@waadt.ch,IT,Marktgasse 64,1041
33,Bettens_admin,mail_bettens@waadt.ch,DE,Place de l'hôtel 55,1042
34,Bioley-Orjulaz_admin,mail_bioley-orjulaz@waadt.ch,IT,Rue de l'hôpital 29,1042
35,Assens_admin,mail_assens@waadt.ch,DE,Place de l'hôtel 17,1042
